default_flag,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_radj,pl_masse,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
0,1,1,5.35227000,13.115,1.170,168.13207,5650.00,1.19,1.10,0.190,,,,6.700,,0.5000,,
1,1,1,5.35227000,13.110,1.170,170.03200,5650.00,1.19,1.10,0.190,[M/H],,4.36,6.730,0.9300,1.0000,,
0,1,1,3.76810000,11.433,1.020,765.97030,5740.00,1.59,1.04,0.000,,,,10.700,,4.5000,,
0,1,1,3.76810000,11.287,1.007,781.86180,5740.00,1.62,1.04,0.000,[Fe/H],,4.04,8.000,0.3420,,,
1,1,1,3.76810000,11.430,1.020,772.29000,5740.00,1.59,1.04,0.000,[Fe/H],,4.40,10.700,0.3200,4.5000,,54.77
0,1,1,1.90009000,12.846,1.146,1048.83900,,0.88,0.88,,,-0.170,4.49,0.032,1.8000,,,
1,1,1,1.90006930,14.680,1.310,1102.82000,5440.00,1.00,0.95,-0.100,[Fe/H],,4.40,,1.3500,8.0000,,29.55
0,1,1,1.90006930,14.684,1.310,1099.69180,5440.00,1.00,0.95,0.100,,,,0.600,,8.0000,5.40,
0,1,1,1.90006930,14.022,1.251,1039.30410,5440.00,0.92,0.86,-0.100,[Fe/H],,4.44,,1.5400,,,
0,1,1,3.89713000,13.339,1.190,346.43470,6090.00,1.58,1.18,-0.020,[Fe/H],,4.12,4.900,0.4250,,,
0,1,1,3.89713000,14.460,1.290,367.09365,6090.00,1.65,1.21,0.020,,,,5.000,,6.0000,,
1,1,1,3.89713000,14.460,1.290,352.78000,6090.00,1.65,1.21,-0.020,[Fe/H],0.544,4.07,5.000,0.3800,6.0000,,24.16
0,2,1,1.74299640,16.421,1.465,1051.97300,,,,,,,,,,,,23.25
0,2,1,1.74299350,16.477,1.470,1150.54460,5696.00,0.91,1.02,0.030,[Fe/H],,4.53,0.600,1.9190,,,
0,2,1,1.74299673,,,,5529.00,0.94,0.97,-0.040,[M/H],-0.131,4.48,,1.6618,,,
1,2,1,1.74299350,16.432,1.466,1102.82000,5625.00,0.91,0.96,,,,,2.700,1.8140,10.8700,,
0,2,1,1.74299609,16.533,1.475,,5575.00,,,-0.040,[Fe/H],,,,1.9580,,,
0,2,1,1.74299350,16.365,1.460,1134.65310,5598.00,0.90,1.00,0.040,[Fe/H],,4.53,1.200,1.9190,,,
0,2,1,1.74299750,15.850,1.414,1052.01730,5625.00,0.90,0.97,0.000,[Fe/H],,4.30,,,,,
0,2,1,1.74299673,16.432,1.466,1048.83900,5625.00,0.90,0.97,0.000,,,,2.700,,11.8500,4.52,
1,1,2,9.24285000,,,1366.66900,,,1.14,,,,,,,,,
0,1,2,9.24285000,9.420,0.840,1347.54000,5880.00,1.02,1.14,0.140,[Fe/H],,4.20,0.100,1.5100,4.5000,,60.62
